S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
221,Terhathum Power Company Limited,99,474.00,435.00,474.00,6340.00,2824747.40,474.30,-0.30 
222,Unilever Nepal Limited,1,18461.00,18461.00,18461.00,10.00,184610.00,18100.00,361.00 
223,Union Hydropower Limited,83,232.00,221.10,223.00,14200.00,3161567.30,229.00,-6.00 
224,United IDI Mardi RB Hydropower Limited.,20,721.70,696.00,704.00,580.00,405599.00,736.40,-32.40 
225,United Insurance Co. (Nepal) Ltd.,151,389.60,366.00,375.00,20016.00,7477826.10,397.50,-22.50 
226,United Modi Hydropower Ltd.,205,250.00,238.00,240.00,33244.00,8062399.20,250.10,-10.10 
227,UNIVERSAL POWER COMPANY LTD,164,235.60,231.00,231.60,36709.00,8540663.50,235.00,-3.40 
228,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,44,1010.00,975.40,975.40,1894.00,1864977.80,1015.00,-39.60 
229,Upakar Laghubitta Bittiya Sanstha Limited,973,2740.00,2560.00,2564.00,11051.00,28760198.20,2702.00,-138.00 
230,Upper Tamakoshi Hydropower Ltd,357,480.00,467.00,470.00,45418.00,21433981.00,481.00,-11.00 
231,Vijaya laghubitta Bittiya Sanstha Ltd.,18,955.00,921.00,950.00,372.00,345260.00,958.00,-8.00 
232,Wean Nepal Laghubitta Bittiya Sanstha Limited,6,998.00,967.00,998.00,152.00,148916.00,1000.00,-2.00 
Page 12/12 «First ‹Prev 101112,
Total Amount Rs.,"1,185,546,179",
Total Quantity,"4,147,255",
Total No of Transactions,"31,806",
