S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
181,Samudayik Laghubitta Bittiya Sanstha Limited,20,1381.00,1353.10,1355.00,677.00,922214.50,1380.00,-25.00а
182,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,126,1055.00,1001.00,1025.00,6528.00,6656653.00,1053.00,-28.00а
183,Sanima Bank Limited,352,278.20,265.00,274.90,56408.00,15262299.10,278.90,-4.00а
184,Sanima Equity Fund,9,12.25,12.11,12.25,20500.00,249675.00,12.25,0.00а
185,Sanima General Insurance Limited,64,395.00,373.80,380.00,2840.00,1088594.00,389.10,-9.10а
186,Sanima Large Cap Fund,11,8.10,7.90,8.10,8410.00,67391.00,8.01,0.09а
187,Sanima Life Insurance Limited,152,380.00,353.00,367.00,4730.00,1707920.10,373.80,-6.80а
188,Sanima Mai Hydropower Ltd.,201,315.80,309.00,312.00,30443.00,9498375.00,314.90,-2.90а
189,SANJEN JALAVIDHYUT COMPANY LIMITED,120,266.00,257.00,266.00,11255.00,2939298.00,269.00,-3.00а
190,Saptakoshi Development Bank Ltd,40,212.00,205.00,212.00,4722.00,984990.90,212.90,-0.90а
191,Shangri-la Development Bank Debenture 2087,1,862.50,862.50,862.50,25.00,21562.50,862.50,0.00а
192,Shangrila Development Bank Ltd.,114,305.00,293.00,296.00,25174.00,7475449.50,299.90,-3.90а
193,Shikhar Insurance Co. Ltd.,497,810.00,772.30,776.00,27096.00,21151991.50,819.00,-43.00а
194,Shine Resunga Development Bank Ltd.,147,300.00,290.00,297.00,18781.00,5536882.10,297.80,-0.80а
195,Shiva Shree Hydropower Ltd,87,241.00,233.10,240.00,12416.00,2927364.70,242.80,-2.80а
196,SHIVAM CEMENTS LTD,535,710.00,674.10,697.00,42482.00,29275778.70,698.00,-1.00а
197,Shree Investment Finance Co. Ltd.,77,298.00,287.50,295.00,8722.00,2545265.20,300.00,-5.00а
198,Siddhartha Bank Limited,230,334.50,315.60,319.00,29081.00,9286173.00,328.00,-9.00а
199,Siddhartha Equity Fund,14,10.09,9.77,10.09,51795.00,508629.75,10.05,0.04а
200,Siddhartha Insurance Ltd.,21,570.00,556.00,560.00,2190.00,1234445.50,567.00,-7.00а
Page 10/12алFirst ЛPrev 101112,
Total Amount Rs.,"1,491,758,817",
Total Quantity,"4,182,369",
Total No of Transactions,"30,602",
